ID,Age,Gender,Military,Citizenship
467,2.0,2.0,,1.0
468,33.0,1.0,2.0,1.0
469,66.0,1.0,2.0,1.0
470,18.0,1.0,2.0,1.0
471,0.0,1.0,,1.0
472,44.0,2.0,2.0,1.0
473,15.0,2.0,,1.0
474,21.0,2.0,2.0,1.0
475,85.0,2.0,2.0,1.0
476,8.0,2.0,,1.0
477,51.0,1.0,2.0,2.0
478,,2.0,,1.0
479,17.0,2.0,2.0,1.0
480,0.0,1.0,,1.0
481,63.0,2.0,2.0,1.0
482,11.0,1.0,,1.0
483,5.0,1.0,,1.0
484,27.0,2.0,2.0,1.0
485,10.0,1.0,,1.0
486,12.0,2.0,,1.0
487,12.0,1.0,,1.0
488,33.0,2.0,2.0,1.0
489,40.0,2.0,2.0,1.0
490,13.0,1.0,,1.0
491,4.0,1.0,,1.0
492,18.0,2.0,2.0,1.0
493,66.0,1.0,2.0,1.0
494,16.0,1.0,,1.0
495,5.0,2.0,,1.0
496,12.0,2.0,,1.0
497,12.0,1.0,,1.0
498,5.0,2.0,,1.0
499,36.0,1.0,2.0,1.0
500,11.0,1.0,,1.0
501,6.0,1.0,,1.0
502,12.0,2.0,,1.0
503,0.0,2.0,,1.0
504,32.0,2.0,2.0,1.0
505,60.0,1.0,1.0,1.0
506,19.0,1.0,2.0,1.0
507,19.0,1.0,2.0,1.0
508,78.0,2.0,2.0,1.0
509,81.0,1.0,1.0,1.0
510,19.0,1.0,2.0,1.0
511,19.0,2.0,2.0,1.0
512,44.0,1.0,2.0,1.0
513,2.0,2.0,,1.0
514,20.0,1.0,2.0,1.0
515,15.0,1.0,,1.0
516,2.0,2.0,,1.0
517,52.0,1.0,2.0,1.0
518,12.0,1.0,,1.0
519,0.0,2.0,,1.0
520,6.0,1.0,,1.0
521,15.0,2.0,,1.0
522,51.0,1.0,1.0,1.0
523,15.0,1.0,,1.0
524,,1.0,,1.0
525,7.0,2.0,,1.0
526,28.0,2.0,2.0,2.0
527,56.0,2.0,2.0,1.0
528,26.0,1.0,2.0,1.0
529,14.0,2.0,,1.0
530,0.0,1.0,,1.0
531,69.0,1.0,1.0,1.0
532,40.0,1.0,2.0,1.0
533,8.0,1.0,,1.0
534,1.0,1.0,,1.0
535,45.0,2.0,2.0,1.0
536,17.0,1.0,2.0,1.0
537,41.0,1.0,2.0,1.0
538,7.0,1.0,,1.0
539,67.0,2.0,2.0,1.0
540,16.0,2.0,,1.0
541,34.0,2.0,2.0,2.0
542,40.0,2.0,2.0,2.0
543,36.0,1.0,2.0,1.0
544,14.0,1.0,,1.0
545,0.0,2.0,,1.0
546,19.0,2.0,2.0,1.0
547,18.0,2.0,2.0,1.0
548,13.0,2.0,,1.0
549,18.0,1.0,2.0,2.0
550,71.0,2.0,2.0,1.0
551,53.0,2.0,2.0,1.0
552,17.0,2.0,2.0,2.0
553,16.0,1.0,,1.0
554,27.0,1.0,2.0,1.0
555,0.0,2.0,,1.0
556,11.0,1.0,,1.0
557,16.0,1.0,,1.0
558,15.0,1.0,,1.0
559,16.0,1.0,,1.0
560,66.0,2.0,2.0,1.0
561,77.0,2.0,2.0,1.0
562,35.0,1.0,2.0,2.0
563,23.0,1.0,2.0,2.0
564,17.0,2.0,2.0,1.0
565,10.0,2.0,,1.0
566,17.0,1.0,2.0,1.0
567,10.0,1.0,,1.0
568,63.0,2.0,2.0,1.0
569,29.0,2.0,2.0,1.0
570,51.0,1.0,2.0,1.0
571,6.0,2.0,,1.0
572,27.0,2.0,2.0,2.0
573,3.0,1.0,,1.0
574,4.0,2.0,,1.0
575,,2.0,,1.0
576,31.0,2.0,2.0,2.0
577,22.0,1.0,2.0,1.0
578,46.0,2.0,2.0,1.0
579,6.0,1.0,,1.0
580,1.0,1.0,,1.0
581,48.0,2.0,2.0,1.0
582,26.0,2.0,2.0,1.0
583,42.0,1.0,1.0,1.0
584,20.0,1.0,2.0,1.0
585,32.0,1.0,1.0,1.0
586,32.0,2.0,2.0,1.0
587,14.0,2.0,,1.0
588,39.0,1.0,2.0,1.0
589,13.0,2.0,,1.0
590,15.0,2.0,,1.0
591,18.0,2.0,2.0,1.0
592,32.0,1.0,2.0,1.0
593,35.0,1.0,2.0,1.0
594,14.0,1.0,,1.0
595,34.0,1.0,2.0,1.0
596,30.0,2.0,2.0,1.0
597,6.0,2.0,,1.0
598,29.0,2.0,2.0,1.0
599,13.0,1.0,,1.0
600,15.0,1.0,,1.0
601,13.0,1.0,,1.0
602,28.0,1.0,2.0,2.0
603,4.0,1.0,,1.0
604,12.0,2.0,,1.0
605,36.0,2.0,2.0,1.0
606,6.0,2.0,,1.0
607,67.0,1.0,2.0,1.0
608,14.0,2.0,,1.0
609,8.0,1.0,,1.0
610,40.0,2.0,2.0,1.0
611,17.0,2.0,2.0,1.0
612,2.0,1.0,,1.0
613,69.0,1.0,2.0,1.0
614,66.0,2.0,2.0,1.0
615,38.0,2.0,1.0,1.0
616,39.0,1.0,1.0,1.0
617,13.0,2.0,,1.0
618,15.0,2.0,,1.0
619,11.0,2.0,,1.0
620,62.0,2.0,2.0,1.0
621,1.0,1.0,,1.0
622,82.0,2.0,2.0,1.0
623,11.0,1.0,,2.0
624,9.0,2.0,,1.0
625,7.0,2.0,,1.0
626,66.0,1.0,2.0,1.0
627,61.0,2.0,2.0,2.0
628,64.0,2.0,2.0,2.0
629,10.0,2.0,,1.0
630,11.0,2.0,,1.0
631,14.0,1.0,,1.0
632,1.0,1.0,,1.0
633,85.0,2.0,2.0,1.0
634,3.0,2.0,,2.0
635,12.0,2.0,,1.0
636,46.0,1.0,2.0,1.0
637,7.0,1.0,,1.0
638,15.0,1.0,,1.0
639,32.0,2.0,2.0,1.0
640,21.0,2.0,2.0,2.0
641,18.0,1.0,2.0,2.0
642,59.0,1.0,2.0,1.0
643,46.0,1.0,2.0,1.0
644,32.0,2.0,2.0,1.0
645,76.0,1.0,2.0,1.0
646,45.0,2.0,2.0,1.0
647,44.0,1.0,2.0,2.0
648,17.0,2.0,2.0,1.0
649,12.0,1.0,,1.0
650,0.0,2.0,,1.0
651,53.0,1.0,1.0,1.0
652,,2.0,,2.0
653,16.0,2.0,,1.0
654,67.0,2.0,2.0,1.0
655,69.0,1.0,1.0,1.0
656,0.0,1.0,,1.0
657,17.0,1.0,2.0,1.0
658,37.0,2.0,2.0,1.0
659,8.0,1.0,,1.0
660,85.0,1.0,1.0,1.0
661,17.0,1.0,2.0,1.0
662,84.0,2.0,2.0,1.0
663,4.0,1.0,,1.0
664,11.0,1.0,,1.0
665,28.0,1.0,2.0,1.0
666,67.0,2.0,2.0,1.0
667,48.0,1.0,2.0,2.0
668,24.0,1.0,2.0,1.0
669,21.0,2.0,2.0,7.0
670,0.0,1.0,,1.0
671,82.0,2.0,2.0,1.0
672,77.0,1.0,1.0,1.0
673,13.0,2.0,,1.0
674,34.0,2.0,2.0,1.0
675,45.0,2.0,2.0,1.0
676,29.0,2.0,2.0,1.0
677,32.0,1.0,2.0,1.0
678,61.0,1.0,1.0,1.0
679,13.0,1.0,,1.0
680,1.0,1.0,,1.0
681,48.0,1.0,2.0,1.0
682,16.0,1.0,,1.0
683,81.0,1.0,2.0,1.0
684,31.0,2.0,2.0,1.0
685,75.0,1.0,1.0,1.0
686,39.0,1.0,2.0,1.0
687,2.0,1.0,,1.0
688,84.0,1.0,2.0,1.0
689,21.0,1.0,2.0,1.0
690,,2.0,,1.0
691,4.0,2.0,,1.0
692,53.0,1.0,2.0,1.0
693,3.0,1.0,,1.0
694,2.0,1.0,,1.0
695,59.0,1.0,2.0,1.0
696,12.0,2.0,,1.0
697,39.0,1.0,2.0,1.0
698,52.0,2.0,2.0,1.0
699,15.0,2.0,,1.0
700,7.0,1.0,,1.0
701,32.0,2.0,2.0,1.0
702,5.0,1.0,,1.0
703,33.0,2.0,2.0,2.0
704,7.0,1.0,,1.0
705,85.0,1.0,2.0,1.0
706,14.0,1.0,,2.0
707,13.0,2.0,,1.0
708,26.0,2.0,2.0,2.0
709,4.0,1.0,,1.0
710,15.0,1.0,,1.0
711,14.0,2.0,,1.0
712,17.0,2.0,2.0,1.0
713,31.0,2.0,2.0,1.0
714,47.0,1.0,2.0,1.0
715,,2.0,,1.0
716,41.0,2.0,2.0,1.0
717,17.0,1.0,2.0,2.0
718,3.0,1.0,,1.0
719,23.0,2.0,2.0,2.0
720,16.0,1.0,,1.0
721,6.0,2.0,,1.0
722,19.0,2.0,2.0,1.0
723,-32.0,2.0,2.0,2.0
724,6.0,1.0,,1.0
725,13.0,2.0,,1.0
726,6.0,1.0,,1.0
727,32.0,1.0,2.0,1.0
728,51.0,2.0,2.0,1.0
729,68.0,1.0,2.0,1.0
730,4.0,2.0,,1.0
731,62.0,2.0,2.0,1.0
732,18.0,2.0,2.0,2.0
733,15.0,1.0,,1.0
734,51.0,2.0,2.0,9.0
735,8.0,1.0,,1.0
736,85.0,2.0,2.0,1.0
737,22.0,2.0,2.0,1.0
738,16.0,1.0,,1.0
739,4.0,1.0,,1.0
740,14.0,1.0,,1.0
741,80.0,2.0,2.0,1.0
742,15.0,1.0,,1.0
743,11.0,2.0,,1.0
744,14.0,2.0,,1.0
745,7.0,2.0,,1.0
746,16.0,2.0,,1.0
747,24.0,2.0,2.0,1.0
748,5.0,1.0,,1.0
749,18.0,2.0,2.0,1.0
750,1.0,2.0,,1.0
751,18.0,1.0,2.0,1.0
752,13.0,1.0,,1.0
753,20.0,1.0,2.0,2.0
754,30.0,2.0,2.0,1.0
755,0.0,2.0,,1.0
756,1.0,1.0,,1.0
757,29.0,1.0,2.0,1.0
758,4.0,1.0,,2.0
759,6.0,1.0,,1.0
760,10.0,1.0,,1.0
761,67.0,2.0,2.0,1.0
762,4.0,2.0,,1.0
763,1.0,1.0,,1.0
764,39.0,1.0,2.0,1.0
765,36.0,2.0,2.0,2.0
766,12.0,2.0,,1.0
767,10.0,2.0,,1.0
768,27.0,2.0,2.0,1.0
769,0.0,2.0,,1.0
770,27.0,1.0,2.0,9.0
771,11.0,1.0,,1.0
772,8.0,1.0,,1.0
773,19.0,2.0,2.0,1.0
774,14.0,2.0,,1.0
775,0.0,2.0,,1.0
776,45.0,1.0,2.0,1.0
777,12.0,1.0,,1.0
778,40.0,2.0,2.0,1.0
779,32.0,2.0,2.0,1.0
780,17.0,1.0,2.0,1.0
781,43.0,2.0,2.0,1.0
782,61.0,2.0,2.0,1.0
783,44.0,1.0,2.0,2.0
784,33.0,1.0,2.0,1.0
785,31.0,2.0,2.0,1.0
786,5.0,1.0,,1.0
787,79.0,2.0,2.0,1.0
788,80.0,1.0,1.0,1.0
789,65.0,2.0,2.0,1.0
790,16.0,2.0,,1.0
791,12.0,2.0,,1.0
792,82.0,2.0,2.0,1.0
793,28.0,2.0,2.0,2.0
794,19.0,1.0,2.0,2.0
795,12.0,2.0,,1.0
796,11.0,1.0,,1.0
797,5.0,1.0,,1.0
798,15.0,2.0,,9.0
799,85.0,2.0,9.0,1.0
800,70.0,2.0,2.0,1.0
801,0.0,1.0,,1.0
802,0.0,2.0,,1.0
803,41.0,1.0,2.0,1.0
804,50.0,1.0,2.0,2.0
805,16.0,1.0,,1.0
806,3.0,1.0,,1.0
807,77.0,2.0,2.0,1.0
808,2.0,2.0,,1.0
809,30.0,2.0,2.0,1.0
810,3.0,2.0,,1.0
811,35.0,2.0,2.0,1.0
812,56.0,2.0,2.0,1.0
813,62.0,1.0,2.0,2.0
814,13.0,2.0,,1.0
815,48.0,1.0,2.0,2.0
816,44.0,1.0,2.0,2.0
817,80.0,2.0,2.0,1.0
818,27.0,1.0,2.0,1.0
819,21.0,2.0,2.0,1.0
820,2.0,2.0,,1.0
821,47.0,1.0,2.0,1.0
822,41.0,1.0,2.0,1.0
823,52.0,1.0,2.0,1.0
824,71.0,2.0,2.0,1.0
825,19.0,1.0,2.0,2.0
826,16.0,1.0,,1.0
827,2.0,1.0,,1.0
828,65.0,2.0,2.0,1.0
829,0.0,2.0,,1.0
830,0.0,1.0,,1.0
831,49.0,1.0,2.0,1.0
832,41.0,1.0,2.0,1.0
833,17.0,1.0,2.0,1.0
834,4.0,1.0,,1.0
835,51.0,2.0,2.0,2.0
836,29.0,2.0,2.0,1.0
837,11.0,1.0,,1.0
838,,1.0,,1.0
839,14.0,2.0,,2.0
840,54.0,2.0,2.0,1.0
841,47.0,2.0,2.0,2.0
842,0.0,1.0,,1.0
843,14.0,2.0,,1.0
